Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
2TpmKasijvSCxJBYfXfgf86dXYdSsVdaraRwxLhjposyunxmQXMmgpPig6nDdbQPrkQ43D1bSViGy1b5gnCM6uqj,1738536263,2025-02-02T22:44:23,0.000005,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,dec,5229928001,5229928001,0,So11111111111111111111111111111111111111111,9,1.0
5573c8fTmvmD5733PjUBfWTYp9wKDctE6vDgCph8yf2CekAd1QS4gTNeV69tmvYvirXooWUFFDpfrbK83rU7jRCX,1738536248,2025-02-02T22:44:08,0.0000053,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,100,5229927901,5229928001,So11111111111111111111111111111111111111111,9,1.0
qtW2ZeLxaNw6ydRYpQgeSHmRof7XsdxaGj2VyDXsZqEKSQxFAKzEBVJuLqTPa4oz6D6LC7VNcSXuMwPYRvbHkWf,1738536248,2025-02-02T22:44:08,0.0000053,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,100,5229927801,5229927901,So11111111111111111111111111111111111111111,9,1.0
3k1RLwSi5tCMWciakce5WJzmdTaeM9HC49CE6CBcPCEoXecxfhvem8SGUZ7CE316MTSj93xQZhG8JjaRurbpnr46,1738536244,2025-02-02T22:44:04,0.001005001,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,5181910461,48017340,5229927801,So11111111111111111111111111111111111111111,9,1.0
3k1RLwSi5tCMWciakce5WJzmdTaeM9HC49CE6CBcPCEoXecxfhvem8SGUZ7CE316MTSj93xQZhG8JjaRurbpnr46,1738536244,2025-02-02T22:44:04,0.001005001,BNMG3mGkgEqRVJM3evKNxqRGF3iUoHfH88LungUhctEj,dec,37637287771,37637287771,0,oraim8c9d1nkfuQk9EzGYEUGxqL3MHQYndRw1huVo5h,6,1.0
47VKGuoWRFkJgPhaQnjawrf1b8JLuU5LNnsnKT4xskbZkgTnWmsa1eKRaZaqNCvmELfuPFafwf6rsZXEnZx34eLF,1738532076,2025-02-02T21:34:36,0.0000053,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,100,48017240,48017340,So11111111111111111111111111111111111111111,9,1.0
3ZmFfAzH6jYRys8ScRerLUDSaQoCtCW5G1dF461H6RgpFhvHsKXBQSGuLyKDdzBTwiPiWG3JiQ5XLYoEoNx6t9EG,1738532075,2025-02-02T21:34:35,0.0000053,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,100,48017140,48017240,So11111111111111111111111111111111111111111,9,1.0
16RXAB9KRdn3dDjZrL6ZQmzY8RC8bRv1NiLYyD3ugSKDpVRmxtkN3ur4jnCfQXdnwN49ySVXdbBF8kN7rh6KFHJ,1738532072,2025-02-02T21:34:32,0.000205,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,dec,205000,48222140,48017140,So11111111111111111111111111111111111111111,9,1.0
16RXAB9KRdn3dDjZrL6ZQmzY8RC8bRv1NiLYyD3ugSKDpVRmxtkN3ur4jnCfQXdnwN49ySVXdbBF8kN7rh6KFHJ,1738532072,2025-02-02T21:34:32,0.000205,BNMG3mGkgEqRVJM3evKNxqRGF3iUoHfH88LungUhctEj,inc,37637287771,0,37637287771,oraim8c9d1nkfuQk9EzGYEUGxqL3MHQYndRw1huVo5h,6,1.0
5FBiGXxBnAbYZQMdrc398AqKy2n5VkcjGdRrn9ZBMrfKCayZVPyc5siuPoL7JP4KzBArg39uDHiLBie8qMedyMr6,1737213322,2025-01-18T15:15:22,0.0000053,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,100,48222040,48222140,So11111111111111111111111111111111111111111,9,1.0
4JcrTF7avHLpVakY6aY3vueyAZrqojFaH54A4m73wke1yeTVXdfx3tPPu3Yns3SaiZpvdVdZiugQdECnpemgJ51T,1737213280,2025-01-18T15:14:40,0.000205,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,dec,1777960,50000000,48222040,So11111111111111111111111111111111111111111,9,1.0
4JcrTF7avHLpVakY6aY3vueyAZrqojFaH54A4m73wke1yeTVXdfx3tPPu3Yns3SaiZpvdVdZiugQdECnpemgJ51T,1737213280,2025-01-18T15:14:40,0.000205,BNMG3mGkgEqRVJM3evKNxqRGF3iUoHfH88LungUhctEj,dec,37637287771,37637287771,0,oraim8c9d1nkfuQk9EzGYEUGxqL3MHQYndRw1huVo5h,6,1.0
2mT2XkW2kTdKmhxjUskpW72VV4RZtfT1bgLumTCrcvpYsR7RdxfJT7s9eFBA8FwiW7nJRWMtqKGe5KXjDDJDKFuQ,1737213202,2025-01-18T15:13:22,0.000015,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,30000000,20000000,50000000,So11111111111111111111111111111111111111111,9,1.0
ovHZ4AGmVYQr9P4Sn8ruXrMpQTbhDnRHJd3Chv6oc8auFH4qeymrvLng2yX2762EuDPUTnv6Y4PSC4X3DgtJJLc,1737213180,2025-01-18T15:13:00,0.000015,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,20000000,0,20000000,So11111111111111111111111111111111111111111,9,1.0
8Aov37pePthbAk3Cm2MjGtexLLEQCd9k9Q4hoiDLBxszb7Fxbgabji2Z5cMcY8WWy1jnWomqK5mVbzHjWo5ukRo,1737213162,2025-01-18T15:12:42,0.000518645,BNMG3mGkgEqRVJM3evKNxqRGF3iUoHfH88LungUhctEj,inc,37637287771,0,37637287771,oraim8c9d1nkfuQk9EzGYEUGxqL3MHQYndRw1huVo5h,6,1.0
4B8MVVtRiGP8haiCRJgmQsUAbzNB9rJscagzJVN6kkNp3nEvZMrJpLfysAksDyMJuAEFhgub4Kf1CrZy9Yq3qC62,1737045639,2025-01-16T16:40:39,0.000015,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,dec,10000000,10000000,0,So11111111111111111111111111111111111111111,9,1.0
5jTMiWrSwGUnAiLG2uq5WHBakDXgD8NFDLQZY2mXfpXtEHCLscVpBHHaFGTYv5b3zGbd8P9sumTJX12eFEkWzEFm,1737045532,2025-01-16T16:38:52,0.000005053,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,10000000,0,10000000,So11111111111111111111111111111111111111111,9,1.0
3bgmmu4VVCFGoHHRbJqUVT9dJoKRSHGdMdEFbQmG8bDcx5oYhYDuzt9kxZBje9ysauJKMChyDWcFnJVx4bBUW1aG,1736089064,2025-01-05T14:57:44,0.000015,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,dec,99965200,99965200,0,So11111111111111111111111111111111111111111,9,1.0
51hDtD3L9YTEdmjaAt6qczKZqBCSTVzssaqeDxF4fCNZgs8yo3mxsLty3rUSzwNyWcpDuuwwoFzBU4hHv6S8Rsif,1735855208,2025-01-02T22:00:08,0.0000104,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,10000,99970200,99980200,So11111111111111111111111111111111111111111,9,1.0
4WeQpQaoM4dhbZKELqe81FKE4gsdMk5iHgc14ctgbGZkkiKZmmpBWwDvkhywKa7zfmaqoj3bqohPVMhqc7fP1t4G,1735855200,2025-01-02T22:00:00,0.0000053,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,100,99985100,99985200,So11111111111111111111111111111111111111111,9,1.0
4cNpetNkCLmiXQ7NYFmr1ynfyCFBdCGrAir8TrtoPHQphWChHbbU6tvmMpnf2DKXSqDSQoZd6V5rbz5YYm4qEvF5,1735855200,2025-01-02T22:00:00,0.0000053,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,100,99985000,99985100,So11111111111111111111111111111111111111111,9,1.0
2sMkAG29YYujCiJm1jerU6EG3N48Z6WRSG5L96oJwsVzFK4voNRifmjLa3wFGFfXVK1U1G6Q59EJsBiV6rk7e8Ua,1735855192,2025-01-02T21:59:52,0.000015,Ge1vXsg4GBb15s2nKDjVjA6xEFc9nEyxAuChEgwjqekS,dec,5110334673,5110334673,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1.0
2sMkAG29YYujCiJm1jerU6EG3N48Z6WRSG5L96oJwsVzFK4voNRifmjLa3wFGFfXVK1U1G6Q59EJsBiV6rk7e8Ua,1735855192,2025-01-02T21:59:52,0.000015,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,dec,15000,100000000,99985000,So11111111111111111111111111111111111111111,9,1.0
2HKn1QdwdLWU8BVscnyu6cKZ9q1AK1FoVxgve8Jt7ppgFfgcTLHuiRm8sJTQHuJmdP1XA1FDBGDA24F8ELkGaKFP,1735855175,2025-01-02T21:59:35,0.000015,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,inc,100000000,0,100000000,So11111111111111111111111111111111111111111,9,1.0
5bQA5LARC8jBJyfjjr15byz9CWcDJw36UeRv9Cx6aRsmPqvWvfd2HYcG41aeNsLPGxBHJ9UWjdmRhokGPQRadte6,1735776290,2025-01-02T00:04:50,0.000015,Ge1vXsg4GBb15s2nKDjVjA6xEFc9nEyxAuChEgwjqekS,inc,1104079305,4006255368,5110334673,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1.0
5bYd67WkvnbAGv5FK2fmjYAsKukAAwwzur2ooYrHgv5CFUQgUkvaw6m85r1KTBFubG4sppdsphSkA1x1bcb6Gj33,1735764390,2025-01-01T20:46:30,0.000015,Ge1vXsg4GBb15s2nKDjVjA6xEFc9nEyxAuChEgwjqekS,inc,4006255368,0,4006255368,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1.0
5ZhWrszVf4TauGWHUZEU2ggevc3PxGr1LpwXbPm6REBA1otSHdZT4sYPZ44vC6cP7xPrJkYJ6GkD7Z7vUQFRciwQ,1734455832,2024-12-17T17:17:12,0.000015,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,dec,963545408,963545408,0,So11111111111111111111111111111111111111111,9,1.0
THqSEEWXXsCCiExgh9ziZkb63rc3JKL1xrmVh3s9rwb4edKj6PxQba7VD1Y3WYQ9dFzxVGpY3FHtYUHtrTgYGxp,1734455210,2024-12-17T17:06:50,0.000271092,5z2EWA2BwNbjTk5bHDL1oBK1wek9DexbvGPFHj22GMsH,dec,6361000000,6361000000,0,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,6,1.0
