Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
433erzM1uQbWPPRfwXjUV3NzMRjU9squaCS8sybcA71nmed7SWM2JNMQtM8Si88LKm7jiW7mw9MG5UyyySn5mnPy,1758373902,2025-09-20T13:11:42,0.000005,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,inc,10000,1673120804,1673130804,So11111111111111111111111111111111111111111,9,1
4FEggPLttmwUVWZzeoAYfiyaYfbSfDTz5yKwuUanyBeFEiEyajtyzG9gEmLBzKvbKYxJa53VV7h2pQhX2ccyJ4i3,1758373894,2025-09-20T13:11:34,0.000005,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,inc,4,1673120800,1673120804,So11111111111111111111111111111111111111111,9,1
42tewEhUMie4veQj7m69J8mksMbgNKF6Fii6Rjkftba1NEpgSzLad8TdWHYmcn6uoognNML22i443dN3nywuw8mj,1758373894,2025-09-20T13:11:34,0.000005,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,inc,8,1673120792,1673120800,So11111111111111111111111111111111111111111,9,1
8j6kzuGpMX5Fzy32ifGcMC9FAJKKvfSofbVWwBQenpdAYNAHUfGkQbKTJ4uQesuxLXemmMMPz2H5qNJx38vWyXX,1758373894,2025-09-20T13:11:34,0.000005,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,inc,6,1673120786,1673120792,So11111111111111111111111111111111111111111,9,1
3bBwC5stvbhzAYmwkbP2fNJNxaoNC6rDg41kTidWJtqPDAD5M52abLCgj7L6sANq6c2DprrWsse5xqFJjp2FmgZh,1758373894,2025-09-20T13:11:34,0.000005,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,inc,2,1673120784,1673120786,So11111111111111111111111111111111111111111,9,1
5AX4HuR3ASP7HeAJNqPaeExfk7v8s6zfLn4PK6ckN1zohea9iTYxEJajKWEtx6jAmVzv63yH9Qf79wVd9SyrXJje,1758373835,2025-09-20T13:10:35,0.000005,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,inc,10000,1673110784,1673120784,So11111111111111111111111111111111111111111,9,1
6WHBw31Hx6UDeTxXtWJCwcsPGGMiagTG3e2Yj45J5S1ohp88ZADyQtyfEmNAKW6p465v48dMPACchToM8SsQC2o,1758373827,2025-09-20T13:10:27,0.000005,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,inc,1,1673110783,1673110784,So11111111111111111111111111111111111111111,9,1
2MrzxLpEBaVvTbDk2oZnPzqmtUdnhQQTdAHhsSiXUWALrkLj1fEuuurWkbmqun953zsgLAEoGbEj3rfqrEj4HuJh,1758373819,2025-09-20T13:10:19,0.000005,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,inc,1,1673110782,1673110783,So11111111111111111111111111111111111111111,9,1
5VJ7zqQf3zbb8exgbhKK4t48x35XDGa66NVwCHbkwe6kjcZqJpKnT1bQ2MUZyG8tx27tLZCSY2BMjPEdCHD6r4Rt,1758373807,2025-09-20T13:10:07,0.000005,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,inc,1,1673110781,1673110782,So11111111111111111111111111111111111111111,9,1
5SSQd2m9XaPu7mW7ttytW66wqy9zaFTN9ELTYzjnn9Qexce2RiS5CDPPvHeNCusABNXifmuf9M2BFrCyRujbaVof,1758373807,2025-09-20T13:10:07,0.000079994,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,dec,79994,1673190775,1673110781,So11111111111111111111111111111111111111111,9,1
