Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources,Token1Multiplier,Token2Multiplier
CY7M8LVqVKGCoQB8TkC4Hb3quyg1zxbeTegaujejyRCPT8NhMm5VGCDn33zHvYKCQ59Sg4vZNpD6ZFth3xLxroP,1758373783,2025-09-20T13:09:43.000Z,ACTIVITY_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,So11111111111111111111111111111111111111111,500000000,9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,118926683,6,118.93,61DFfeTKM7trxYcPQCM78bJ794ddZprZpAwAnLiwTpYH,61DFfeTKM7trxYcPQCM78bJ794ddZprZpAwAnLiwTpYH,1.0,1.0
2n2pCWpk5swz7zf1XX4cVepsNQJ6fWpVyGdMGCAXQ782Cxo6dCiEHXTjvFqPSCDrTx6Td6xRUKXki1MQszBAGL59,1758190225,2025-09-18T10:10:25.000Z,ACTIVITY_AGG_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,5EaYZcaKfTVdpQ2avVtJ7BNWJ1Rnj86F1dWxppawpump,159499914515,6,So11111111111111111111111111111111111111112,1623001936,9,400.51,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
2FHP6vrvd6eicZQZdnQgeTaWWrsZZeN8QJ8i3Uogey76WkqewmhJhkcerNpu1CsQdLMPh8vghiYEJVUSezY7wnMy,1758054281,2025-09-16T20:24:41.000Z,ACTIVITY_AGG_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,93xFKVeWXEiN6TfMFTamQQHZJK9uCuQtSFhhEAFTpump,1051653045579,6,So11111111111111111111111111111111111111112,812825950,9,193.31,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
5ZLhnPj9Dm6u5nyQkJCJ9fpC5hXTsh6qQBnDVtXHj13acTWTTtCTqwshNAVf11Pmhdwt24C7awXFgGwE3HuHgsVC,1758023960,2025-09-16T11:59:20.000Z,ACTIVITY_AGG_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,So11111111111111111111111111111111111111112,2293330000,9,So11111111111111111111111111111111111111112,1051653045579,9,543.61,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
5Cich7gLzNFg5cmJtrMgjLG9ZRpYaebBEQgsxW9JKtX8HMe6UZXP8yXvvmcLmDTX6C6s8AgAkATUHhktEZxtjyjA,1758023935,2025-09-16T11:58:55.000Z,ACTIVITY_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,500000000,6,So11111111111111111111111111111111111111111,2123873107,9,500.15,61DFfeTKM7trxYcPQCM78bJ794ddZprZpAwAnLiwTpYH,61DFfeTKM7trxYcPQCM78bJ794ddZprZpAwAnLiwTpYH,1.0,1.0
VYox3KevMyfuk3AmTLmCib8dDJM2uyYhUSTQkiz6Be6Tx6WCXazKvPvrXoqLndaWN8JzyMiPbhwjtjri6NSd2X6,1757980164,2025-09-15T23:49:24.000Z,ACTIVITY_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,So11111111111111111111111111111111111111111,2000000000,9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,466963735,6,466.96,61DFfeTKM7trxYcPQCM78bJ794ddZprZpAwAnLiwTpYH,61DFfeTKM7trxYcPQCM78bJ794ddZprZpAwAnLiwTpYH,1.0,1.0
4VUsRtYcLQRND7z8aMeVcV7AQDDpCMNTMaftdTzzjjBaKTitLCKJF1Xx9UNyXdVek6jf4BUUP3DpMRkj3hfbK9ho,1757980124,2025-09-15T23:48:44.000Z,ACTIVITY_AGG_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,So11111111111111111111111111111111111111112,279720000,9,Yr8CsFhUBsRxeTcGcKmzxMSJMAfWtMaadyoj1JApump,177237982045,6,65.31,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
5z9JM9WTJuqT5VbTPefyL1oHqSuoZQ6ZcGpvw1d4oSUzdqhVjG9LsuCjP22XYLMLWEeNfJgnVxP8bnMoLWDHpoqH,1757980105,2025-09-15T23:48:25.000Z,ACTIVITY_AGG_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,Yr8CsFhUBsRxeTcGcKmzxMSJMAfWtMaadyoj1JApump,1496379267718,6,So11111111111111111111111111111111111111112,2346790113,9,547.9,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
3pDmABEYLmNU8Z8C2pVPbW43dgv7pa1db55dT5N9L8oNcJUuCvAi7BiTfW5n6TbwWuYmqcbPCaGmZXz7jrUv15qm,1757950445,2025-09-15T15:34:05.000Z,ACTIVITY_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,So11111111111111111111111111111111111111112,98912845,9,Yr8CsFhUBsRxeTcGcKmzxMSJMAfWtMaadyoj1JApump,120011867231,6,23.08,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
4qkXZi5a7bh3NNx6fPzN8DWA83reZEihn1Q8KymGgmMfXzRMFELQCuL6BsLjJXk8br8qiKPY2zLx5PSXAfKg6JhT,1757950407,2025-09-15T15:33:27.000Z,ACTIVITY_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,So11111111111111111111111111111111111111112,2332391610,9,Yr8CsFhUBsRxeTcGcKmzxMSJMAfWtMaadyoj1JApump,2872746668206,6,544.34,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
4N3C5eTkgvfHoj1fvpzjvRAEK7B4wGARat83WQUXjAgqZ8A9RozqcnNJi1PCRjczUnhzvVLc36VevkeMCAEitB1t,1757950399,2025-09-15T15:33:19.000Z,ACTIVITY_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,550000000,6,So11111111111111111111111111111111111111111,2357019889,9,550.08,61DFfeTKM7trxYcPQCM78bJ794ddZprZpAwAnLiwTpYH,61DFfeTKM7trxYcPQCM78bJ794ddZprZpAwAnLiwTpYH,1.0,1.0
2EMFVvrPoGWK4pBcFbPyxgaodPrc3zmroKKGWF9HtQHxYfwUC7bhxrJjXj8sJZk8G3esfTXpjgR7m7wYMydUkpCB,1757942331,2025-09-15T13:18:51.000Z,ACTIVITY_TOKEN_SWAP,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,So11111111111111111111111111111111111111111,3638640608,9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,855195126,6,855.2,61DFfeTKM7trxYcPQCM78bJ794ddZprZpAwAnLiwTpYH,61DFfeTKM7trxYcPQCM78bJ794ddZprZpAwAnLiwTpYH,1.0,1.0
