Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
2TpmKasijvSCxJBYfXfgf86dXYdSsVdaraRwxLhjposyunxmQXMmgpPig6nDdbQPrkQ43D1bSViGy1b5gnCM6uqj,1738536263,2025-02-02T22:44:23.000Z,TRANSFER,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,5229923001,out,1048.18,9,SOL,1.0
5573c8fTmvmD5733PjUBfWTYp9wKDctE6vDgCph8yf2CekAd1QS4gTNeV69tmvYvirXooWUFFDpfrbK83rU7jRCX,1738536248,2025-02-02T22:44:08.000Z,TRANSFER,fLiPgg2yTvmgfhiPkKriAHkDmmXGP6CdeFX9UF5o7Zc,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,100,in,0.00002004,9,SOL,1.0
qtW2ZeLxaNw6ydRYpQgeSHmRof7XsdxaGj2VyDXsZqEKSQxFAKzEBVJuLqTPa4oz6D6LC7VNcSXuMwPYRvbHkWf,1738536248,2025-02-02T22:44:08.000Z,TRANSFER,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,100,in,0.00002004,9,SOL,1.0
3k1RLwSi5tCMWciakce5WJzmdTaeM9HC49CE6CBcPCEoXecxfhvem8SGUZ7CE316MTSj93xQZhG8JjaRurbpnr46,1738536244,2025-02-02T22:44:04.000Z,CLOSE ACCOUNT,7uHp2MW3cmkPVHnihrutaEq3Jf21eTcJe7MsvLsqDrdG,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,5184954742,in,1039.17,9,SOL,1.0
3k1RLwSi5tCMWciakce5WJzmdTaeM9HC49CE6CBcPCEoXecxfhvem8SGUZ7CE316MTSj93xQZhG8JjaRurbpnr46,1738536244,2025-02-02T22:44:04.000Z,TRANSFER,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,5182915462,in,1038.76,9,So11111111111111111111111111111111111111112,1.0
3k1RLwSi5tCMWciakce5WJzmdTaeM9HC49CE6CBcPCEoXecxfhvem8SGUZ7CE316MTSj93xQZhG8JjaRurbpnr46,1738536244,2025-02-02T22:44:04.000Z,TRANSFER,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,37637287771,out,1036.49,6,oraim8c9d1nkfuQk9EzGYEUGxqL3MHQYndRw1huVo5h,1.0
3k1RLwSi5tCMWciakce5WJzmdTaeM9HC49CE6CBcPCEoXecxfhvem8SGUZ7CE316MTSj93xQZhG8JjaRurbpnr46,1738536244,2025-02-02T22:44:04.000Z,CREATE ACCOUNT,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,7uHp2MW3cmkPVHnihrutaEq3Jf21eTcJe7MsvLsqDrdG,2039280,out,0.4087,9,SOL,1.0
47VKGuoWRFkJgPhaQnjawrf1b8JLuU5LNnsnKT4xskbZkgTnWmsa1eKRaZaqNCvmELfuPFafwf6rsZXEnZx34eLF,1738532076,2025-02-02T21:34:36.000Z,TRANSFER,fLiPgg2yTvmgfhiPkKriAHkDmmXGP6CdeFX9UF5o7Zc,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,100,in,0.00002018,9,SOL,1.0
3ZmFfAzH6jYRys8ScRerLUDSaQoCtCW5G1dF461H6RgpFhvHsKXBQSGuLyKDdzBTwiPiWG3JiQ5XLYoEoNx6t9EG,1738532075,2025-02-02T21:34:35.000Z,TRANSFER,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,100,in,0.00002018,9,SOL,1.0
16RXAB9KRdn3dDjZrL6ZQmzY8RC8bRv1NiLYyD3ugSKDpVRmxtkN3ur4jnCfQXdnwN49ySVXdbBF8kN7rh6KFHJ,1738532072,2025-02-02T21:34:32.000Z,TRANSFER,CsyMFtuWNicQmVpJh7UZSwnKHQK1vDWQFrUMsJCofisD,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,37637287771,in,1022.61,6,oraim8c9d1nkfuQk9EzGYEUGxqL3MHQYndRw1huVo5h,1.0
