Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
wMELdocta8t5NHKbJRwfrwD3NW6pSp2PLX99tpLMfVP7XSWMy9rDiXzqejCWodmAJM2qx3L8o6cPWWcqHafZ1gz,1752428738,2025-07-13T17:45:38.000Z,TRANSFER,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,929938149164,in,900.18,6,Din1G2q5Bog9qkJ4UsQD5Uy1ciShqJB2935La7vvmuj2,1.0
4osXvJNSR7SbMfzLzHw7EE4UKsDRKjddXuTDDikVGFbxiA9Rwn8ctXErShiGUTCskikGxrh9mpgje92JAbKbsMJh,1706323919,2024-01-27T02:51:59.000Z,TRANSFER,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,Ew4fQ1f76KbXiwNZPiojDjHKaNERDunp8oQfEscsGLGL,14421786,out,1.3284,9,SOL,1.0
4BrE8grxojKXTnGsafFtoccB5gG6kGAVmgkxQ1EbKwD1khdZdnK18nSL6FGVK2LJD384vVBcwMJYGtthwBEMmvg3,1706323915,2024-01-27T02:51:55.000Z,TRANSFER,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,0,in,0,9,SOL,1.0
65Lpr9krg3jt2QVYdBkS71R9ikYC92srqWSSgjsn1FSiXUeFNNFWnzWcDHd4tpJmCuQ2Z3Kj9GmchHd17SPfh87K,1706323893,2024-01-27T02:51:33.000Z,TRANSFER,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,2hoHzozaV6CazkZp64WEnTW1z1hh948RuNKiJZ4yHGs2,64365200000,out,70.03,5,WENWENvqqNya429ubCdR81ZmD69brwQaaBYY6p3LCpk,1.0
2Ajapjn9tZxiKZCgnDG9ooxek9VWW4e6uwhJ7r8FvUbNUWsSLVVcu8kTBejUBhuguHQUhskbL6vf7XK8vngq7PkY,1706323878,2024-01-27T02:51:18.000Z,TRANSFER,5FdQAbZ6QBK27BFrhsGsg9v3YhNbmtrtoDdNpV95SsXT,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,64365200000,in,70.03,5,WENWENvqqNya429ubCdR81ZmD69brwQaaBYY6p3LCpk,1.0
2Ajapjn9tZxiKZCgnDG9ooxek9VWW4e6uwhJ7r8FvUbNUWsSLVVcu8kTBejUBhuguHQUhskbL6vf7XK8vngq7PkY,1706323878,2024-01-27T02:51:18.000Z,CREATE ACCOUNT,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,7hdUKk5pdbsZFFEEeNJUYG6se6qY3KZs6P2eQUwyEUL4,1614720,out,0.1487,9,SOL,1.0
2Ajapjn9tZxiKZCgnDG9ooxek9VWW4e6uwhJ7r8FvUbNUWsSLVVcu8kTBejUBhuguHQUhskbL6vf7XK8vngq7PkY,1706323878,2024-01-27T02:51:18.000Z,CREATE ACCOUNT,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,4XphGubnZTcPCAP9jnLsPiGP5UpbQZFAn5twGf1dCA4X,2039280,out,0.1878,9,SOL,1.0
hnkuZ695DXcHiFfWBba3Qr8NFzbj5NPVsubADu4MNeoQzdKVinx5fF6EzJfgaRKhkpNRW9XZofn5YUVNQsKmkGH,1706323855,2024-01-27T02:50:55.000Z,TRANSFER,8iTdBP3ARJaDxzs9ZtkmtsgEudJGKmUkC4sEfD2zEcPe,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,18139358,in,1.6708,9,SOL,1.0
F74d54RwS7arejCGiCgMH47ymBLXVaUULP7pEbbQWP5jcGEosUh6ZT4mfvSJw8royKy2KWXdAiBEFkfo39p9QTr,1701575735,2023-12-03T03:55:35.000Z,TRANSFER,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,10990007680,out,693.66,9,SOL,1.0
vhCnwQT7TA4PnHDuZU3DmT4Xh9Cq87Q8AQLmA8AnyTYwcBU4wFbQxAxkxXQVtCBQNJv7ajFuKgM86XjmWmCeTEz,1701379890,2023-11-30T21:31:30.000Z,TRANSFER,A4G6ZtdnVcjSW9dahTiYtcMyGhNvELGB1h7RbEV2DKW5,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,10971000000,in,648.82,9,SOL,1.0
3nV6EqeWDnqX1vA3nDpRyxh1RyQLBggT6LZ9C51ECELJ8rBVAYNUn5MxdEMxwbYshUBe51EDJJ2MriQQNMYsDQyv,1701379847,2023-11-30T21:30:47.000Z,TRANSFER,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,nmF32UpDCmMaRLp4Agxp4km8hKKDu4QFG7zjy5DUZKB,17000000,out,1.0054,9,SOL,1.0
5Gd9bkRGK3sjjAdNfy2DvhxJuNVkaNtQ5HNXAiqhUM1v4vJ4sVVg7aMatJmtzdFK92juUpC4rCYg6ipEhADtGGCj,1701379727,2023-11-30T21:28:47.000Z,CREATE ACCOUNT,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,7YiEehMgWo2GSFnhVZYuGhCS7UAjPDYx86t4Yt7F2jEG,2714400,out,0.1605,9,SOL,1.0
5Gd9bkRGK3sjjAdNfy2DvhxJuNVkaNtQ5HNXAiqhUM1v4vJ4sVVg7aMatJmtzdFK92juUpC4rCYg6ipEhADtGGCj,1701379727,2023-11-30T21:28:47.000Z,CREATE ACCOUNT,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,2aYNDLNdUWCiTn89Lt1X1xpuBHhNc5txzQCG8iGoNdGn,2429040,out,0.1437,9,SOL,1.0
2LRMAK9CJNG35ocFiBcwHUuqjmgxwfr6dXxjfJab4RdLpQFuquKQ483gZur3L6pwkRPnrJCast3eYYqEXUjVQTPE,1701372517,2023-11-30T19:28:37.000Z,CREATE ACCOUNT,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,A16ggEku2farvrs1YXnepPfeJ1yKmvxDrqWYvxBvTYQy,2714400,out,0.1605,9,SOL,1.0
2LRMAK9CJNG35ocFiBcwHUuqjmgxwfr6dXxjfJab4RdLpQFuquKQ483gZur3L6pwkRPnrJCast3eYYqEXUjVQTPE,1701372517,2023-11-30T19:28:37.000Z,CREATE ACCOUNT,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,9tq7aDrNS1dgFGXsQAZqZLazpGeduCVSwJ8W3U6M2jUq,2429040,out,0.1437,9,SOL,1.0
24HQqN1PiqQgn1gReBxqfKiNi6oeM4vJCaSXrRxepLh2vNugVK5Vy6MPiw3tDBZBTfUUvgdyYtuH4DHpnQBrroZM,1701372174,2023-11-30T19:22:54.000Z,TRANSFER,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,A4G6ZtdnVcjSW9dahTiYtcMyGhNvELGB1h7RbEV2DKW5,10970000000,out,648.76,9,SOL,1.0
61zDPsRoD9m75cEZ8XiK3YuTNthU9cjNjRmixQZPHU4FCLf49cfChUgcbqqvpQT6f9kzoJagtGAJMLEsjUczSbYT,1701372098,2023-11-30T19:21:38.000Z,TRANSFER,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,A4G6ZtdnVcjSW9dahTiYtcMyGhNvELGB1h7RbEV2DKW5,1000000,out,0.05914,9,SOL,1.0
61zDPsRoD9m75cEZ8XiK3YuTNthU9cjNjRmixQZPHU4FCLf49cfChUgcbqqvpQT6f9kzoJagtGAJMLEsjUczSbYT,1701372098,2023-11-30T19:21:38.000Z,CREATE ACCOUNT,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,43MLArnKgMXi9dytyTstpJo66oq2nUjaeBfrreCHhubn,2046240,out,0.121,9,SOL,1.0
5E4ofEzFkTAyx2Bux4Cs3pvSpcJPBm2eDVfwPGTBNn46iS31dB6RrWxTNPs6xZKde3zUtKFq18sRC8WA1Gk564gX,1701372043,2023-11-30T19:20:43.000Z,TRANSFER,RBHdGVfDfMjfU6iUfCb1LczMJcQLx7hGnxbzRsoDNvx,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,11019400000,in,651.68,9,SOL,1.0
51A4rkGTRVMuQDDmUTzPFCaL5DbhjdHRHS1wNjocn3xqgj4FegXTHkpnq4uxonckY7NQ45Bdw4tBe5aq3rHNH5e3,1701039989,2023-11-26T23:06:29.000Z,TRANSFER,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,0,in,0,9,SOL,1.0
5XYJAvCmC7BytLUGWVrZNJ3EYdJdBThBkft51rHExZvoMuYSEbXSMrAfqbZs7E7xcoNG5ughg4K5dLmadGehrKse,1701039962,2023-11-26T23:06:02.000Z,TRANSFER,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,Ew4fQ1f76KbXiwNZPiojDjHKaNERDunp8oQfEscsGLGL,392034663,out,23.07,9,SOL,1.0
4dBzJUNha5YMadX2ecdNXPWM5R5b3EmFoZu3Yqg2UiNQaw7Z2qbC8gaKRD94BxhLt4hsSRE6UvxaMhduRc5QxaYU,1701039940,2023-11-26T23:05:40.000Z,TRANSFER,4xDsmeTWPNjgSVSS1VTfzFq3iHZhp77ffPkAmkZkdu71,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,102503052,in,6.0323,9,So11111111111111111111111111111111111111112,1.0
4dBzJUNha5YMadX2ecdNXPWM5R5b3EmFoZu3Yqg2UiNQaw7Z2qbC8gaKRD94BxhLt4hsSRE6UvxaMhduRc5QxaYU,1701039940,2023-11-26T23:05:40.000Z,TRANSFER,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,4xDsmeTWPNjgSVSS1VTfzFq3iHZhp77ffPkAmkZkdu71,9000000000,out,4.9641,9,SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,1.0
4dBzJUNha5YMadX2ecdNXPWM5R5b3EmFoZu3Yqg2UiNQaw7Z2qbC8gaKRD94BxhLt4hsSRE6UvxaMhduRc5QxaYU,1701039940,2023-11-26T23:05:40.000Z,CREATE ACCOUNT,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,A5Sp2Ppoim13avqsmpJuQjUqPNW3xoxXH9WoQVEzD1qa,2039280,out,0.12,9,SOL,1.0
5AsxQA6YCjGkxKmvGju6GxjC1HEqN7nHPrqTMerADzELWnYCWZNVjbtJ31zqBkgcYUnw8PaH97eZA1m3YDzqBx3a,1701039922,2023-11-26T23:05:22.000Z,TRANSFER,8iTdBP3ARJaDxzs9ZtkmtsgEudJGKmUkC4sEfD2zEcPe,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,291582728,in,17.16,9,SOL,1.0
4RcEHJMLVBQ1fXyjcoLG4pD6mScGdvBNjAupXzm81SpN9HUWLPsaFuXXQ9RHZWcPyoqb1v56z13NCT8soFhnxLBi,1672804651,2023-01-04T03:57:31.000Z,TRANSFER,GkrHWH16iawPbwUUTZYtgMV6VosYDVFY11Pt7AGvutAT,2tv8KnynVgGYMVxYjkZHXSow1hG4oyQ88NKVkZqbfuY4,9000000000,in,-1,9,SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,1.0
